Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Steve Smith,NYG,WR,25,9,7,0,0,0,0,0,0,0,,0,75,48,529,11.02,3,0,,3,,,71,118.9,121.9,94.9,,65,
David Gettis,CAR,WR,23,15,13,0,0,0,0,0,3,2,0.67,0,67,37,508,13.73,3,0,,3,,,69,106.0,109.0,87.5,,67,
Randy Moss,3TM,WR,33,16,11,0,0,0,0,0,0,0,,0,63,28,393,14.04,5,0,,5,,,69,97.3,100.3,83.3,,66,
Brian Hartline,MIA,WR,24,12,11,0,0,0,0,0,2,27,13.50,0,73,43,615,14.30,1,1,1,1,,,68,111.2,115.2,89.7,,68,
Greg Olsen,CHI,TE,25,16,13,0,0,0,0,0,0,0,,0,70,41,404,9.85,5,2,1,5,,,68,109.4,113.4,88.9,,22,
Marcel Reece,OAK,FB,25,16,10,0,0,0,0,0,30,122,4.07,1,43,25,333,13.32,3,1,1,4,,,68,92.5,99.5,80.0,,52,
Marion Barber III,DAL,RB,27,13,10,0,1,0,0,0,113,374,3.31,4,16,11,49,4.45,0,0,,4,,,66,77.3,80.3,71.8,,53,
Jimmy Graham,NOR,TE,24,15,5,0,0,0,0,0,1,3,3.00,0,44,31,356,11.48,5,1,,5,,,66,96.9,99.9,81.4,,23,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blair White,IND,WR,23,13,4,0,0,0,0,0,0,0,,0,57,36,355,9.86,5,1,,5,,,66,101.5,104.5,83.5,,69,
Jason Avant,PHI,WR,27,16,3,0,0,0,0,0,0,0,,0,76,51,573,11.24,1,0,,1,1,,65,116.3,119.3,90.8,,70,
Visanthe Shiancoe,MIN,TE,30,16,9,0,0,0,0,0,0,0,,0,79,47,530,11.28,2,0,,2,,,65,112.0,115.0,88.5,,24,
Jordy Nelson,GNB,WR,25,16,4,0,0,0,0,0,0,0,,0,64,45,582,12.93,2,3,3,2,,,64,109.2,115.2,86.7,,72,
Steve Smith Sr.,CAR,WR,31,14,14,0,0,0,0,0,1,9,9.00,0,100,46,554,12.04,2,3,2,2,,,64,110.3,115.3,87.3,,71,
Deon Butler,SEA,WR,24,13,8,0,0,0,0,0,2,6,3.00,0,70,36,385,10.69,4,0,,4,,,63,99.1,102.1,81.1,,74,
Michael Jenkins,ATL,WR,28,11,9,0,0,0,0,0,0,0,,0,73,41,505,12.32,2,0,,2,,,63,103.5,106.5,83.0,,75,
Mohamed Massaquoi,CLE,WR,24,15,14,1,1,29,1,0,1,-3,-3.00,0,73,36,483,13.42,2,1,1,2,,,63,99.2,103.2,81.2,,73,
Kevin Kolb,PHI,QB,26,7,5,115,189,1197,7,7,15,65,4.33,0,0,0,0,,0,6,3,0,,,62,62.4,75.4,69.4,,36,
Derrick Ward,HOU,RB,30,16,0,0,0,0,0,0,50,315,6.30,4,11,7,61,8.71,0,0,,4,,,62,68.6,71.6,65.1,,54,
Correll Buckhalter,DEN,RB,32,15,0,0,0,0,0,0,59,147,2.49,2,39,28,240,8.57,2,1,1,4,,,61,88.7,95.7,74.7,,55,
Heath Miller,PIT,TE,28,14,14,0,0,0,0,0,0,0,,0,67,42,512,12.19,2,1,1,2,,,61,103.2,107.2,82.2,,25,
Owen Daniels,HOU,TE,28,11,10,0,0,0,0,0,0,0,,0,68,38,471,12.39,2,0,,2,,,59,97.1,100.1,78.1,,26,
Brandon LaFell,CAR,WR,24,14,2,0,1,0,0,0,1,60,60.00,0,77,38,468,12.32,1,0,,1,,,59,96.8,99.8,77.8,,76,
Jeremy Shockey,NOR,TE,30,13,11,0,0,0,0,0,0,0,,0,59,41,408,9.95,3,0,,3,,,59,99.8,102.8,79.3,,27,
Chester Taylor,CHI,RB,31,16,1,0,0,0,0,0,112,267,2.38,3,26,20,139,6.95,0,0,,3,,,59,78.6,84.6,68.6,,58,
Pierre Thomas,NOR,RB,26,6,3,0,0,0,0,0,83,269,3.24,2,29,29,201,6.93,0,0,,2,,,59,88.0,94.0,73.5,,57,
Beanie Wells,ARI,RB,22,13,2,0,0,0,0,0,116,397,3.42,2,8,5,74,14.80,0,1,,2,,,59,64.1,67.1,61.6,,56,
Jimmy Clausen,CAR,QB,23,13,10,157,299,1558,3,9,23,57,2.48,0,0,0,0,,0,9,2,0,,,58,58.0,72.0,67.0,,37,
T.J. Houshmandzadeh,BAL,WR,33,16,2,0,0,0,0,0,0,0,,0,57,30,398,13.27,3,1,,3,,,58,87.8,90.8,72.8,,77,
Patrick Crayton,SDG,WR,31,9,2,0,1,0,0,0,0,0,,0,42,28,514,18.36,1,0,,1,,,57,85.4,88.4,71.4,,78,
Drew Stanton,DET,QB,26,6,3,69,119,780,4,3,18,113,6.28,1,0,0,0,,0,3,1,1,,,57,56.5,66.5,59.5,,38,
Arrelious Benn,TAM,WR,22,15,9,0,0,0,0,0,6,35,5.83,0,38,25,395,15.80,2,1,,2,,,55,80.0,83.0,67.5,,79,
Jerricho Cotchery,NYJ,WR,28,14,5,0,0,0,0,0,4,-3,-0.75,0,86,41,433,10.56,2,0,,2,,,55,96.0,99.0,75.5,,80,
Brad Smith,NYJ,WR,27,16,2,2,3,6,1,0,38,299,7.87,1,7,4,44,11.00,0,1,1,3,,,55,58.5,62.5,56.5,,81,
Roscoe Parrish,BUF,WR,28,8,6,0,0,0,0,0,3,23,7.67,0,53,33,400,12.12,2,1,,2,,,54,87.3,90.3,70.8,,82,
Bo Scaife,TEN,TE,29,14,13,0,0,0,0,0,0,0,,0,52,36,318,8.83,4,2,1,4,,,54,89.8,93.8,71.8,,28,
Dallas Clark,IND,TE,31,6,6,0,0,0,0,0,0,0,,0,53,37,347,9.38,3,0,,3,,,53,89.7,92.7,71.2,,30,
Devery Henderson,NOR,WR,28,16,11,0,0,0,0,0,3,8,2.67,0,59,34,464,13.65,1,0,,1,,,53,87.2,90.2,70.2,,83,
David Nelson,BUF,TE,24,15,3,0,0,0,0,0,0,0,,0,47,31,353,11.39,3,0,,3,,,53,84.3,87.3,68.8,,29,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rex Grossman,WAS,QB,30,4,3,74,133,884,7,4,3,6,2.00,0,0,0,0,,0,4,4,0,,2,52,52.0,63.0,56.0,,39,
Javarris James,IND,RB,23,10,0,0,0,0,0,0,46,112,2.43,6,11,9,63,7.00,0,1,1,6,,,52,60.5,64.5,56.0,,59,
Tashard Choice,DAL,RB,26,16,0,0,0,0,0,0,66,243,3.68,3,22,17,109,6.41,0,1,1,3,,,51,68.2,75.2,59.7,,60,
Daniel Fells,STL,TE,27,16,6,0,0,0,0,0,0,0,,0,65,41,391,9.54,2,0,,2,,,51,92.1,95.1,71.6,,31,
Matthew Stafford,DET,QB,22,3,3,57,96,535,6,1,4,11,2.75,1,0,0,0,,0,2,1,1,,1,51,50.5,55.5,51.5,,40,
Fred Davis,WAS,TE,24,16,9,0,0,0,0,0,0,0,,0,30,21,316,15.05,3,0,,3,,,50,70.6,73.6,60.1,,32,
Bruce Gradkowski,OAK,QB,27,6,4,83,157,1059,5,7,12,41,3.42,0,0,0,0,,0,3,1,0,,,50,50.5,61.5,57.5,,41,
C.J. Spiller,BUF,RB,23,14,1,0,0,0,0,0,74,283,3.82,0,30,24,157,6.54,1,5,3,2,,,50,74.0,83.0,62.0,,61,
Toby Gerhart,MIN,RB,23,15,1,0,0,0,0,0,81,322,3.98,1,29,21,167,7.95,0,3,3,1,,,49,69.9,78.9,59.4,,62,
Brian Robiskie,CLE,WR,23,14,11,0,0,0,0,0,0,0,,0,49,29,310,10.69,3,0,,3,,,49,78.0,81.0,63.5,,84,
Emmanuel Sanders,PIT,WR,23,13,1,0,0,0,0,0,0,0,,0,50,28,376,13.43,2,2,1,2,,,48,75.6,79.6,61.6,,85,
Jerome Harrison,2TM,RB,27,12,2,0,0,0,0,0,71,330,4.65,1,13,12,85,7.08,0,2,1,1,,,46,57.5,61.5,51.5,,64,
DeAngelo Williams,CAR,RB,27,6,6,0,0,0,0,0,87,361,4.15,1,13,11,61,5.55,0,1,1,1,,,46,57.2,61.2,51.7,,63,
Darrius Heyward-Bey,OAK,WR,23,15,14,0,0,0,0,0,4,48,12.00,0,65,26,366,14.08,1,1,1,1,,,45,71.4,75.4,58.4,,86,
Laurent Robinson,STL,WR,25,14,11,0,0,0,0,0,2,-14,-7.00,0,75,34,344,10.12,2,0,,2,,,45,79.0,82.0,62.0,,87,
Vincent Jackson,SDG,WR,27,5,5,0,0,0,0,0,1,14,14.00,0,24,14,248,17.71,3,0,,3,,,44,58.2,61.2,51.2,,88,
Isaac Redman,PIT,RB,26,16,0,0,0,0,0,0,52,247,4.75,0,10,9,72,8.00,2,1,,2,,,44,52.9,55.9,48.4,,65,
Mark Clayton,STL,WR,28,5,5,0,0,0,0,0,1,6,6.00,0,42,23,306,13.30,2,0,,2,,,43,66.2,69.2,54.7,,89,
Legedu Naanee,SDG,WR,27,10,9,0,0,0,0,0,3,-2,-0.67,0,46,23,371,16.13,1,1,1,1,1,,43,65.9,69.9,54.4,,90,
Reggie Bush,NOR,RB,25,8,6,0,0,0,0,0,36,150,4.17,0,42,34,208,6.12,1,2,,1,,,42,75.8,81.8,58.8,,66,
Jared Cook,TEN,TE,23,16,1,0,0,0,0,0,0,0,,0,45,29,361,12.45,1,0,,1,,,42,71.1,74.1,56.6,,33,
Tony Scheffler,DET,TE,27,15,4,0,0,0,0,0,0,0,,0,72,45,378,8.40,1,1,1,1,,,42,86.8,90.8,64.3,,34,
Jerome Simpson,CIN,WR,24,5,3,0,0,0,0,0,1,2,2.00,0,25,20,277,13.85,3,2,2,3,,,42,61.9,66.9,51.9,,91,
Seneca Wallace,CLE,QB,30,8,4,64,101,694,4,2,7,9,1.29,0,1,1,9,9.00,0,1,,0,,,42,42.6,47.6,44.1,,42,
Josh Cribbs,CLE,WR,27,15,5,2,3,19,0,0,20,66,3.30,0,39,23,292,12.70,1,7,1,1,,,41,63.6,67.6,52.1,,94,
Andre Roberts,ARI,WR,22,15,2,0,0,0,0,0,0,0,,0,49,24,307,12.79,2,2,1,2,,,41,64.7,68.7,52.7,,93,
Micheal Spurlock,TAM,WR,27,16,1,0,3,0,0,0,0,0,,0,33,17,250,14.71,2,2,1,3,,,41,58.0,62.0,49.5,,92,
Clinton Portis,WAS,RB,29,5,5,0,0,0,0,0,54,227,4.20,2,9,5,55,11.00,0,0,,2,,,40,45.2,48.2,42.7,,69,
Sidney Rice,MIN,WR,24,6,5,0,0,0,0,0,0,0,,0,42,17,280,16.47,2,0,,2,,,40,57.0,60.0,48.5,,95,
Javon Ringer,TEN,RB,23,16,0,0,0,0,0,0,51,239,4.69,2,8,7,44,6.29,0,0,,2,,,40,47.3,50.3,43.8,,68,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernard Scott,CIN,RB,26,16,0,0,0,0,0,0,61,299,4.90,1,13,11,60,5.45,0,1,1,1,,,40,50.9,54.9,45.4,,70,
LaRod Stephens-Howling,ARI,RB,23,13,2,0,0,0,0,0,23,113,4.91,1,23,16,111,6.94,0,0,,3,,,40,56.4,62.4,48.4,,67,
Leon Washington,SEA,RB,28,16,0,0,0,0,0,0,27,100,3.70,1,13,9,79,8.78,0,3,1,4,,,40,48.9,52.9,44.4,,71,
Ladell Betts,NOR,RB,31,8,1,0,0,0,0,0,45,150,3.33,2,31,23,141,6.13,0,1,1,2,,,39,62.1,69.1,50.6,,72,
Seyi Ajirotutu,SDG,WR,23,10,0,0,0,0,0,0,0,0,,0,23,13,262,20.15,2,0,,2,,,38,51.2,54.2,44.7,,96,
John Carlson,SEA,TE,26,15,13,0,0,0,0,0,0,0,,0,58,31,318,10.26,1,0,,1,,,38,68.8,71.8,53.3,,35,
Dexter McCluster,KAN,WR,21,11,7,0,0,0,0,0,18,71,3.94,0,39,21,209,9.95,1,2,1,2,,,38,59.0,63.0,48.5,,97,
Chansi Stuckey,CLE,WR,27,16,5,0,0,0,0,0,3,9,3.00,1,63,40,346,8.65,0,3,2,1,,,38,77.5,82.5,57.5,,98,
Danario Alexander,STL,WR,24,8,2,0,0,0,0,0,0,0,,0,37,20,306,15.30,1,0,,1,,,37,56.6,59.6,46.6,,99,
Anthony Dixon,SFO,RB,23,16,0,0,0,0,0,0,70,237,3.39,2,5,5,11,2.20,0,0,,2,,,37,41.8,44.8,39.3,,74,
Earnest Graham,TAM,RB,30,12,7,1,1,2,1,0,20,99,4.95,1,19,16,130,8.13,1,1,1,2,,,37,53.0,57.0,45.0,,73,
Joe Webb,MIN,QB,24,5,2,54,89,477,0,3,18,120,6.67,2,0,0,0,,0,1,,2,,,37,37.1,46.1,40.1,,43,
Charlie Whitehurst,SEA,QB,28,6,2,57,99,507,2,3,20,43,2.15,1,0,0,0,,0,2,,1,,2,37,36.6,42.6,39.6,,44,
Early Doucet,ARI,WR,25,10,5,0,0,0,0,0,2,5,2.50,0,59,26,291,11.19,1,0,,1,,,36,61.6,64.6,48.6,,101,
Jermichael Finley,GNB,TE,23,5,5,0,0,0,0,0,0,0,,0,26,21,301,14.33,1,0,,1,,,36,57.1,60.1,46.6,,37,
Evan Moore,CLE,TE,25,12,4,0,0,0,0,0,0,0,,0,26,16,322,20.13,1,1,1,1,,,36,52.2,56.2,44.2,,36,
Demaryius Thomas,DEN,WR,23,10,2,0,0,0,0,0,2,1,0.50,0,39,22,283,12.86,2,3,2,2,,,36,58.4,63.4,47.4,,100,
Kenneth Darby,STL,RB,28,14,0,0,0,0,0,0,34,107,3.15,2,13,10,61,6.10,1,0,,3,,,35,44.8,47.8,39.8,,75,
Harry Douglas,ATL,WR,26,16,4,0,0,0,0,0,2,-5,-2.50,0,53,22,294,13.36,1,0,,1,,,35,56.9,59.9,45.9,,104,
Brian Finneran,ATL,WR,34,16,1,0,0,0,0,0,0,0,,0,32,19,166,8.74,3,0,,3,,,35,53.6,56.6,44.1,,105,
Antwaan Randle El,PIT,WR,31,16,0,2,2,42,2,0,1,2,2.00,0,39,22,253,11.50,0,2,,0,,,35,57.2,60.2,46.2,,103,
Brandon Stokley,SEA,WR,34,11,0,0,0,0,0,0,0,0,,0,43,31,354,11.42,0,0,,0,,,35,66.4,69.4,50.9,,102,
Randy McMichael,SDG,TE,31,16,11,0,0,0,0,0,0,0,,0,27,20,221,11.05,2,0,,2,,,34,54.1,57.1,44.1,,38,
Mewelde Moore,PIT,RB,28,15,0,0,0,0,0,0,33,99,3.00,0,31,26,205,7.88,0,0,,0,2,,34,60.4,63.4,47.4,,76,
David Thomas,NOR,TE,27,13,8,0,0,0,0,0,0,0,,0,46,30,219,7.30,2,0,,2,,,34,63.9,66.9,48.9,,39,
Justin Gage,TEN,WR,29,11,4,0,0,0,0,0,0,0,,0,43,20,266,13.30,1,0,,1,,,33,52.6,55.6,42.6,,106,
Michael Hoomanawanui,STL,TE,22,8,3,0,0,0,0,0,0,0,,0,22,13,146,11.23,3,0,,3,,,33,45.6,48.6,39.1,,41,
Matt Moore,CAR,QB,26,6,5,79,143,857,5,10,5,25,5.00,0,0,0,0,,0,4,2,0,,,33,32.8,47.8,42.8,,46,
John Skelton,ARI,QB,22,5,4,60,126,662,2,2,10,49,4.90,0,0,0,0,,0,3,1,0,,,33,33.4,39.4,35.4,,45,
Delanie Walker,SFO,TE,26,14,8,0,0,0,0,0,3,18,6.00,0,45,29,331,11.41,0,1,1,0,,,33,61.9,65.9,47.4,,40,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andre Caldwell,CIN,WR,25,15,5,0,0,0,0,0,1,-2,-2.00,0,37,25,345,13.80,0,1,1,0,,,32,57.3,61.3,44.8,,107,
Craig Davis,SDG,WR,25,7,1,0,0,0,0,0,0,0,,0,39,21,259,12.33,1,0,,1,,,32,52.9,55.9,42.4,,108,
Jason Hill,2TM,WR,25,8,1,0,0,0,0,0,0,0,,0,21,11,248,22.55,1,0,,1,,,31,41.8,44.8,36.3,,109,
Greg Camarillo,MIN,WR,28,16,1,0,0,0,0,0,0,0,,0,34,20,240,12.00,1,0,,1,,,30,50.0,53.0,40.0,,110,
Ted Ginn Jr.,SFO,WR,25,13,0,0,0,0,0,0,2,11,5.50,0,35,12,163,13.58,1,1,,2,,,29,41.4,44.4,35.4,,111,
Zach Miller,JAX,TE,26,15,5,0,0,0,0,0,2,9,4.50,0,26,20,216,10.80,1,0,,1,,,29,48.5,51.5,38.5,,42,
Tyler Thigpen,MIA,QB,26,5,1,33,62,435,2,2,13,73,5.62,0,0,0,0,,0,1,,0,,,29,28.7,33.7,30.7,,47,
Derek Hagan,NYG,WR,26,7,4,0,0,0,0,0,0,0,,0,43,24,223,9.29,1,0,,1,,,28,52.3,55.3,40.3,,112,
Andrew Quarless,GNB,TE,22,13,3,0,0,0,0,0,0,0,,0,33,21,238,11.33,1,1,1,1,,,28,48.8,52.8,38.3,,43,
Billy Bajema,STL,TE,28,13,8,0,0,0,0,0,0,0,,0,24,14,145,10.36,2,1,,2,,,27,40.5,43.5,33.5,,44,
Chris Chambers,KAN,WR,32,13,7,0,0,0,0,0,0,0,,0,43,22,213,9.68,1,0,,1,,,27,49.3,52.3,38.3,,114,
Jake Delhomme,CLE,QB,35,5,4,93,149,872,2,7,8,-2,-0.25,0,0,0,0,,0,3,1,0,,,27,26.7,37.7,33.7,,48,
Mike Hart,IND,RB,24,7,1,0,0,0,0,0,43,185,4.30,1,6,6,25,4.17,0,0,,1,,,27,33.0,36.0,30.0,,77,
Jacob Hester,SDG,RB,25,15,7,0,0,0,0,0,26,60,2.31,0,26,22,145,6.59,1,0,,1,,,27,48.5,51.5,37.5,,78,
Donald Jones,BUF,WR,23,15,5,0,0,0,0,0,3,1,0.33,0,41,18,213,11.83,1,0,,1,,,27,45.4,48.4,36.4,,113,
Martellus Bennett,DAL,TE,23,16,11,0,0,0,0,0,0,0,,0,47,33,260,7.88,0,1,,0,,,26,59.0,62.0,42.5,,46,
Matt Flynn,GNB,QB,25,7,1,40,66,433,3,2,9,26,2.89,0,0,0,0,,0,1,1,0,,,26,25.9,31.9,27.9,,50,
Tarvaris Jackson,MIN,QB,27,3,1,34,58,341,3,4,7,63,9.00,0,0,0,0,,0,1,,0,,1,26,25.9,32.9,29.9,,49,
Julius Jones,2TM,RB,29,12,2,0,0,0,0,0,60,223,3.72,0,22,17,59,3.47,0,1,1,0,,,26,43.2,47.2,34.7,,79,
Brian Leonard,CIN,RB,26,11,0,0,0,0,0,0,9,61,6.78,0,26,20,137,6.85,1,0,,1,,,26,45.8,48.8,35.8,,80,
Dante Rosario,CAR,TE,26,16,6,0,0,0,0,0,1,-2,-2.00,0,58,32,264,8.25,0,0,,0,,,26,58.2,61.2,42.2,,45,
Kevin Smith,DET,RB,24,6,0,0,0,0,0,0,34,133,3.91,0,16,11,123,11.18,0,0,,0,,,26,36.6,42.6,31.1,,81,
Trent Edwards,2TM,QB,27,5,3,55,101,521,2,5,14,58,4.14,0,0,0,0,,0,0,,0,,,25,24.6,32.6,29.6,,52,
Stephen McGee,DAL,QB,25,2,1,22,44,238,2,0,13,74,5.69,0,0,0,0,,0,1,,0,,,25,24.9,24.9,24.9,,51,
Mike Sellers,WAS,FB,35,16,8,0,0,0,0,0,4,2,0.50,0,40,20,224,11.20,0,0,,0,1,,25,44.6,47.6,34.6,,82,
Travis Beckum,NYG,TE,23,16,2,0,0,0,0,0,0,0,,0,18,13,116,8.92,2,0,,2,,,24,36.6,39.6,30.1,,49,
Bernard Berrian,MIN,WR,30,14,9,0,0,0,0,0,1,-8,-8.00,0,54,28,252,9.00,0,2,,0,,,24,52.4,55.4,38.4,,115,
Jeff King,CAR,TE,27,16,16,0,0,0,0,0,0,0,,0,32,19,121,6.37,2,0,,2,,,24,43.1,46.1,33.6,,48,
Craig Stevens,TEN,TE,26,15,13,0,0,0,0,0,0,0,,0,23,11,122,11.09,2,0,,2,,,24,35.2,38.2,29.7,,47,
Charlie Batch,PIT,QB,36,3,2,29,49,352,3,3,7,30,4.29,0,0,0,0,,0,2,,0,,,23,23.1,29.1,26.1,,53,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryant Johnson,DET,WR,29,14,7,0,0,0,0,0,0,0,,0,49,18,210,11.67,0,0,,0,1,,23,41.0,44.0,32.0,,118,
Donald Lee,GNB,TE,30,15,6,0,0,0,0,0,0,0,,0,12,11,73,6.64,3,1,1,3,,,23,34.3,35.3,28.8,,50,
Golden Tate,SEA,WR,22,11,0,0,0,0,0,0,2,4,2.00,0,39,21,227,10.81,0,1,,0,,,23,44.1,47.1,33.6,,117,
Kelley Washington,SDG,WR,31,8,0,0,0,0,0,0,0,0,,0,14,13,173,13.31,1,0,,1,,,23,36.3,39.3,29.8,,116,
John Gilmore,TAM,TE,31,16,11,0,0,0,0,0,0,0,,0,18,13,160,12.31,1,0,,1,,,22,35.0,38.0,28.5,,51,
Ruvell Martin,SEA,WR,28,5,0,0,0,0,0,0,0,0,,0,9,7,158,22.57,1,0,,1,,,22,28.8,31.8,25.3,,121,
Le'Ron McClain,BAL,FB,26,15,13,0,0,0,0,0,28,85,3.04,0,26,21,134,6.38,0,0,,0,,,22,42.9,45.9,32.4,,84,
Ovie Mughelli*,ATL,FB,30,16,6,0,0,0,0,0,13,36,2.77,0,18,13,126,9.69,1,0,,1,,,22,35.2,38.2,28.7,,83,
Sammie Stroughter,TAM,WR,24,12,4,0,0,0,0,0,1,2,2.00,0,38,24,239,9.96,0,1,1,0,,,22,46.1,50.1,34.1,,120,
Damian Williams,TEN,WR,22,16,1,0,0,0,0,0,1,5,5.00,0,28,16,219,13.69,0,0,,0,,,22,38.4,41.4,30.4,,119,
Antonio Brown,PIT,WR,22,9,0,0,0,0,0,0,0,0,,0,19,16,167,10.44,0,1,1,1,,,21,36.7,40.7,28.7,,122,
Patrick Cobbs,MIA,RB,27,16,1,0,0,0,0,0,4,0,0.00,0,18,8,91,11.38,2,1,,2,,,21,29.1,29.1,25.1,,85,
Ed Dickson,BAL,TE,23,15,3,0,0,0,0,0,0,0,,0,23,11,152,13.82,1,0,,1,,,21,32.2,35.2,26.7,,52,
Joe McKnight,NYJ,RB,22,9,1,0,0,0,0,0,39,189,4.85,0,4,3,20,6.67,0,0,,0,,,21,23.9,26.9,22.4,,86,
Chad Hall,PHI,WR,24,8,1,0,0,0,0,0,9,29,3.22,0,18,11,115,10.45,1,0,,1,,,20,31.4,34.4,25.9,,123,
Greg Lewis,MIN,WR,30,13,5,0,0,0,0,0,0,0,,0,37,17,197,11.59,0,0,,0,,,20,36.7,39.7,28.2,,125,
Marlon Moore,MIA,WR,23,9,0,0,0,0,0,0,1,16,16.00,0,19,6,128,21.33,1,0,,1,,,20,26.4,29.4,23.4,,124,
Leonard Pope,KAN,TE,27,16,6,0,0,0,0,0,0,0,,0,19,10,76,7.60,2,0,,2,,,20,29.6,29.6,24.6,,53,
Owen Schmitt,PHI,FB,25,15,5,0,0,0,0,0,0,0,,0,24,19,136,7.16,1,0,,1,,,20,38.6,41.6,29.1,,87,
Chris Baker,SEA,TE,31,16,13,0,0,0,0,0,0,0,,0,19,9,116,12.89,1,0,,1,,,18,26.6,29.6,22.1,,54,
Riley Cooper,PHI,WR,23,13,2,0,0,0,0,0,0,0,,0,18,7,116,16.57,1,0,,1,,,18,24.6,27.6,21.1,,127,
Lousaka Polite,MIA,FB,29,16,10,0,0,0,0,0,26,62,2.38,1,17,12,61,5.08,0,0,,1,,,18,30.3,30.3,24.3,,88,
Eric Weems*,ATL,WR,25,16,4,0,0,0,0,0,0,0,,0,6,6,61,10.17,0,0,,2,,,18,24.1,24.1,21.1,,126,
Lance Ball,DEN,RB,25,10,0,0,0,0,0,0,41,158,3.85,0,6,3,16,5.33,0,1,,0,,,17,20.4,23.4,18.9,,89,
Mike Bell,2TM,RB,27,16,1,0,0,0,0,0,47,99,2.11,0,10,7,67,9.57,0,2,,0,,,17,23.6,23.6,20.1,,91,
Alge Crumpler,NWE,TE,33,16,10,0,0,0,0,0,0,0,,0,10,6,52,8.67,2,0,,2,,,17,23.2,23.2,20.2,,55,
Joey Galloway,WAS,WR,39,10,4,0,0,0,0,0,0,0,,0,38,12,173,14.42,0,0,,0,,,17,29.3,32.3,23.3,,129,
Deji Karim,JAX,RB,24,11,0,0,0,0,0,0,35,160,4.57,0,7,3,10,3.33,0,4,,0,,,17,20.0,23.0,18.5,,90,
Verran Tucker,KAN,WR,22,11,2,0,0,0,0,0,0,0,,0,19,6,114,19.00,1,0,,1,,,17,23.4,26.4,20.4,,128,
Terrance Copper,KAN,WR,28,16,3,0,0,0,0,0,0,0,,0,28,18,157,8.72,0,0,,0,,,16,33.7,36.7,24.7,,131,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julian Edelman,NWE,WR,24,15,3,0,0,0,0,0,2,14,7.00,0,14,7,86,12.29,0,1,,1,,,16,23.0,23.0,19.5,,130,
Justin Peelle,ATL,TE,31,13,8,0,0,0,0,0,0,0,,0,15,10,96,9.60,1,0,,1,,,16,25.6,25.6,20.6,,56,
Dominic Rhodes,IND,RB,31,3,0,0,0,0,0,0,37,172,4.65,0,4,1,4,4.00,0,1,1,0,,,16,16.6,20.6,16.1,,93,
Fred Taylor,NWE,RB,34,7,0,0,0,0,0,0,43,155,3.60,0,3,2,6,3.00,0,0,,0,,,16,18.1,21.1,17.1,,92,
Devin Aromashodu,CHI,WR,26,14,2,0,0,0,0,0,0,0,,0,24,10,149,14.90,0,0,,0,,,15,24.9,27.9,19.9,,133,
Dezmon Briscoe,TAM,WR,21,2,0,0,0,0,0,0,0,0,,0,7,6,93,15.50,1,0,,1,,,15,21.3,21.3,18.3,,132,
Eric Decker,DEN,WR,23,14,0,0,0,0,0,0,0,0,,0,8,6,106,17.67,1,3,1,1,,,15,20.6,24.6,17.6,,134,
Daniel Graham,DEN,TE,32,16,16,0,0,0,0,0,0,0,,0,37,18,148,8.22,0,1,,0,,,15,32.8,35.8,23.8,,57,
Jim Kleinsasser,MIN,TE,33,16,7,0,0,0,0,0,0,0,,0,21,17,148,8.71,0,0,,0,,,15,31.8,34.8,23.3,,58,
Todd Bouman,JAX,QB,38,1,1,18,34,222,2,2,2,8,4.00,0,0,0,0,,0,0,,0,,,14,13.7,15.7,15.7,,54,
Rashied Davis,CHI,WR,31,16,0,0,0,0,0,0,0,0,,0,13,9,84,9.33,1,1,,1,,,14,23.4,23.4,18.9,,135,
Naaman Roosevelt,BUF,WR,23,6,1,0,0,0,0,0,1,3,3.00,0,17,9,139,15.44,0,0,,0,,,14,23.2,26.2,18.7,,136,
Matt Spaeth,PIT,TE,27,14,13,0,0,0,0,0,0,0,,0,18,9,80,8.89,1,0,,1,,,14,23.0,23.0,18.5,,59,
Maurice Stovall,TAM,WR,25,12,1,0,0,0,0,0,0,0,,0,9,7,81,11.57,1,0,,1,,,14,21.1,21.1,17.6,,137,
Tyrell Sutton,CAR,RB,24,9,0,0,0,0,0,0,13,71,5.46,0,12,12,70,5.83,0,0,,0,,,14,26.1,26.1,20.1,,94,
Danny Ware,NYG,RB,25,14,0,0,0,0,0,0,20,73,3.65,0,9,7,67,9.57,0,0,,0,,,14,21.0,21.0,17.5,,95,
Clay Harbor,PHI,TE,23,9,6,0,0,0,0,0,0,0,,0,15,9,72,8.00,1,0,,1,,,13,22.2,22.2,17.7,,60,
Spencer Larsen,DEN,FB,26,11,5,0,0,0,0,0,3,18,6.00,0,5,5,51,10.20,1,0,,1,,,13,17.9,17.9,15.4,,97,
